OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,550002678,Parent Facility,2500 MERCED STREET,SAN LEANDRO,94577,01,Alameda,Emergency - Basic,216,Open,2014-06-03,Hospital,General Acute Care Hospital,37.70684400,-122.16427170
106034002,SUTTER AMADOR HOSPITAL,030000008,Parent Facility,200 MISSION BLVD,JACKSON,95642,03,Amador,Emergency - Basic,52,Open,2000-04-10,Hospital,General Acute Care Hospital,38.35048260,-120.76446500
106040802,ORCHARD HOSPITAL,230000007,Parent Facility,240 SPRUCE STREET,GRIDLEY,95948,04,Butte,Emergency - Standby,24,Open,1949-05-24,Hospital,General Acute Care Hospital,39.36755410,-121.68946930
106040828,ENLOE MEDICAL CENTER - COHASSET,230000027,Consolidated Facility,560 COHASSET ROAD,CHICO,95926,04,Butte,None,30,Open,1964-06-19,Hospital,General Acute Care Hospital,39.75260320,-121.84816610
106040937,OROVILLE HOSPITAL,230000022,Parent Facility,2767 OLIVE HIGHWAY,OROVILLE,95966,04,Butte,Emergency - Basic,133,Open,1962-01-01,Hospital,General Acute Care Hospital,39.50616930,-121.54119120
106040962,ENLOE HEALTH,230000027,Parent Facility,1531 ESPLANADE,CHICO,95926,04,Butte,Emergency - Basic,228,Open,1946-03-29,Hospital,General Acute Care Hospital,39.74258670,-121.84972700
106044006,BUTTE COUNTY MENTAL HEALTH SERVICES,M01016001,Parent Facility,592 RIO LINDO AVENUE,CHICO,95926,04,Butte,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,39.75455520,-121.84749280
106044011,ENLOE REHABILITATION CENTER,230000027,Consolidated Facility,340 WEST EAST AVENUE,CHICO,95926,04,Butte,None,40,Open,1991-05-14,Hospital,General Acute Care Hospital,39.75415870,-121.86755220
106050932,MARK TWAIN MEDICAL CENTER,030000058,Parent Facility,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,05,Calaveras,Emergency - Basic,25,Open,1951-08-21,Hospital,General Acute Care Hospital,38.19068960,-120.67019030
106060870,COLUSA MEDICAL CENTER,230000149,Parent Facility,199 E WEBSTER STREET,COLUSA,95932,06,Colusa,Emergency - Standby,48,Open,1953-07-01,Hospital,General Acute Care Hospital,39.20636820,-122.00171680
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,140000090,Parent Facility,2500 ALHAMBRA AVENUE,MARTINEZ,94553,07,Contra Costa,Emergency - Basic,167,Open,1953-07-02,Hospital,General Acute Care Hospital,38.00608920,-122.13277780
106070934,SUTTER DELTA MEDICAL CENTER,140000258,Parent Facility,3901 LONE TREE WAY,ANTIOCH,94509,07,Contra Costa,Emergency - Basic,141,Open,1967-02-02,Hospital,General Acute Care Hospital,37.98275930,-121.80296560
106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,140000265,Parent Facility,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,07,Contra Costa,Emergency - Basic,554,Open,1965-06-15,Hospital,General Acute Care Hospital,37.91287690,-122.04094980
106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,140000290,Parent Facility,1425 SOUTH MAIN STREET,WALNUT CREEK,94596,07,Contra Costa,Emergency - Basic,249,Open,1953-09-11,Hospital,General Acute Care Hospital,37.89150650,-122.05801370
106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,140000128,Parent Facility,2540 EAST STREET,CONCORD,94520,07,Contra Costa,Emergency - Basic,276,Open,1946-01-01,Hospital,General Acute Care Hospital,37.98517260,-122.03366320
106074011,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,140000345,Consolidated Facility,7777 NORRIS CANYON ROAD,SAN RAMON,94583,07,Contra Costa,None,,Open,2008-06-01,Hospital,General Acute Care Hospital,37.77464950,-121.95717620
106074017,SAN RAMON REGIONAL MEDICAL CENTER,140000345,Parent Facility,6001 NORRIS CANYON ROAD,SAN RAMON,94583,07,Contra Costa,Emergency - Basic,123,Open,1990-02-12,Hospital,General Acute Care Hospital,37.77522510,-121.95817600
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,140000418,Parent Facility,2740 GRANT STREET,CONCORD,94520,07,Contra Costa,Not Applicable,73,Open,1993-03-10,Hospital,Acute Psychiatric Hospital,37.98582970,-122.03673150
106074093,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,140000052,Consolidated Facility,901 NEVIN AVE,RICHMOND,94801,07,Contra Costa,Emergency - Basic,50,Open,1995-09-07,Hospital,General Acute Care Hospital,37.93755730,-122.36110490
106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,550000614,Parent Facility,4501 SAND CREEK ROAD,ANTIOCH,94531,07,Contra Costa,Emergency - Basic,150,Open,2007-11-07,Hospital,General Acute Care Hospital,37.95084180,-121.77492860
106084001,SUTTER COAST HOSPITAL,110000067,Parent Facility,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,08,Del Norte,Emergency - Basic,49,Open,1946-01-01,Hospital,General Acute Care Hospital,41.77365880,-124.19424690
106090793,BARTON MEMORIAL HOSPITAL,030000013,Parent Facility,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,09,El Dorado,Emergency - Basic,111,Open,1963-11-21,Hospital,General Acute Care Hospital,38.91156330,-119.99654470
106090933,MARSHALL MEDICAL CENTER,030000059,Parent Facility,1100 MARSHALL WAY,PLACERVILLE,95667,09,El Dorado,Emergency - Basic,111,Open,1959-05-22,Hospital,General Acute Care Hospital,38.72467000,-120.79165010
106094002,TELECARE EL DORADO COUNTY P.H.F.,M20016057,Parent Facility,935-B SPRING STREET,PLACERVILLE,95667,09,El Dorado,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,38.73333540,-120.80243970
106100005,CLOVIS COMMUNITY MEDICAL CENTER,040000004,Parent Facility,2755 HERNDON AVENUE,CLOVIS,93611,10,Fresno,Emergency - Basic,352,Open,1988-12-15,Hospital,General Acute Care Hospital,36.83884690,-119.66118270
106100697,COALINGA REGIONAL MEDICAL CENTER,040000085,Parent Facility,1191 PHELPS AVENUE,COALINGA,93210,10,Fresno,Emergency - Standby,75,Open,2020-12-02,Hospital,General Acute Care Hospital,36.15196750,-120.34099550
106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,040000096,Parent Facility,2823 FRESNO STREET,FRESNO,93721,10,Fresno,Emergency - Comprehensive,685,Open,1946-01-01,Hospital,General Acute Care Hospital,36.74263020,-119.78474790
106100793,ADVENTIST HEALTH SELMA,550001439,Consolidated Facility,1141 ROSE AVENUE,SELMA,93662,10,Fresno,Emergency - Standby,62,Open,2005-10-29,Hospital,General Acute Care Hospital,36.56733210,-119.59797900
106100797,ADVENTIST HEALTH REEDLEY,040000149,Parent Facility,372 WEST CYPRESS AVENUE,REEDLEY,93654,10,Fresno,Emergency - Standby,49,Open,1965-04-14,Hospital,General Acute Care Hospital,36.60817920,-119.45311640
106100899,ST. AGNES MEDICAL CENTER,040000173,Parent Facility,1303 EAST HERNDON AVENUE,FRESNO,93720,10,Fresno,Emergency - Basic,436,Open,1975-03-22,Hospital,General Acute Care Hospital,36.83423770,-119.76377600
106104008,COMMUNITY BEHAVIORAL HEALTH CENTER,040000096,Consolidated Facility,7171 NORTH CEDAR AVENUE,FRESNO,93720,10,Fresno,None,73,Open,1987-10-01,Hospital,General Acute Care Hospital,36.84079990,-119.75684420
106104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,040000280,Parent Facility,7173 N. SHARON AVENUE,FRESNO,93720,10,Fresno,None,62,Open,1991-01-23,Hospital,General Acute Care Hospital,36.83989070,-119.76065460
106104047,FRESNO SURGICAL HOSPITAL,040000332,Parent Facility,6125 NORTH FRESNO STREET,FRESNO,93710,10,Fresno,None,27,Open,1993-02-23,Hospital,General Acute Care Hospital,36.82484690,-119.78192980
106104062,KAISER FOUNDATION HOSPITAL - FRESNO,040000384,Parent Facility,7300 NORTH FRESNO STREET,FRESNO,93720,10,Fresno,Emergency - Basic,169,Open,1995-02-23,Hospital,General Acute Care Hospital,36.84243310,-119.78046700
106104089,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,M20016059,Parent Facility,4411 E. KINGS CANYON ROAD,FRESNO,93702,10,Fresno,Not Applicable,16,Open,2016-01-01,Hospital,Psychiatric Health Facility,36.73700790,-119.75197970
106105029,FRESNO HEART AND SURGICAL HOSPITAL,040000096,Consolidated Facility,15 E. AUDUBON DR.,FRESNO,93720,10,Fresno,None,57,Open,2015-09-01,Hospital,General Acute Care Hospital,36.86003670,-119.78863410
106105051,DEPARTMENT OF STATE HOSPITALS - COALINGA,550000061,Parent Facility,24511 WEST JAYNE AVENUE,COALINGA,93210,10,Fresno,Not Applicable,"1,500",Open,2005-08-25,Hospital,Acute Psychiatric Hospital,36.13066700,-120.23887710
106105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,M20016058,Parent Facility,4411 E Kings Canyon Rd,Fresno,93702,10,Fresno,Not Applicable,16,Open,2015-04-17,Hospital,Psychiatric Health Facility,36.73692600,-119.75154520
106110889,GLENN MEDICAL CENTER,230000018,Parent Facility,1133 WEST SYCAMORE STREET,WILLOWS,95988,11,Glenn,Emergency - Standby,47,Open,1953-07-01,Hospital,General Acute Care Hospital,39.52136020,-122.20843620
106120981,THE GENERAL HOSPITAL,110000075,Consolidated Facility,2200 HARRISON AVENUE,EUREKA,95501,12,Humboldt,None,15,Open,1953-07-01,Hospital,General Acute Care Hospital,40.78841810,-124.14039010
106121002,MAD RIVER COMMUNITY HOSPITAL,110000031,Parent Facility,3800 JANES ROAD,ARCATA,95521,12,Humboldt,Emergency - Basic,78,Open,1972-10-26,Hospital,General Acute Care Hospital,40.89649230,-124.08992650
106121031,JEROLD PHELPS COMMUNITY HOSPITAL,110000052,Parent Facility,733 CEDAR STREET,GARBERVILLE,95542,12,Humboldt,Emergency - Standby,17,Open,1963-08-20,Hospital,General Acute Care Hospital,40.10164910,-123.79226170
106121051,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,110000173,Parent Facility,3300 RENNER DRIVE,FORTUNA,95540,12,Humboldt,Emergency - Basic,35,Open,1957-03-19,Hospital,General Acute Care Hospital,40.58233660,-124.13637490
106121080,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA,110000075,Parent Facility,2700 DOLBEER STREET,EUREKA,95501,12,Humboldt,Emergency - Basic,138,Open,1954-07-26,Hospital,General Acute Care Hospital,40.78438900,-124.14163400
106124004,SEMPERVIRENS P.H.F.,M10016003,Parent Facility,720 WOOD STREET,EUREKA,95501,12,Humboldt,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,40.78097690,-124.16104670
106130699,EL CENTRO REGIONAL MEDICAL CENTER,090000004,Parent Facility,1415 ROSS AVENUE,EL CENTRO,92243,13,Imperial,Emergency - Basic,161,Open,1967-01-21,Hospital,General Acute Care Hospital,32.78110320,-115.56766890
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,090000087,Parent Facility,207 WEST LEGION ROAD,BRAWLEY,92227,13,Imperial,Emergency - Basic,107,Open,1950-11-06,Hospital,General Acute Care Hospital,32.95894900,-115.55370060
106141273,NORTHERN INYO HOSPITAL,240000179,Parent Facility,150 PIONEER LANE,BISHOP,93514,14,Inyo,Emergency - Basic,25,Open,1948-05-14,Hospital,General Acute Care Hospital,37.36197090,-118.40618530
106141338,SOUTHERN INYO HOSPITAL,240000205,Parent Facility,501 EAST LOCUST STREET,LONE PINE,93545,14,Inyo,Emergency - Standby,37,Open,1952-03-31,Hospital,General Acute Care Hospital,36.60905390,-118.05785290
106150706,ADVENTIST HEALTH DELANO,120000180,Parent Facility,1401 GARCES HIGHWAY,DELANO,93215,15,Kern,Emergency - Basic,156,Open,1974-01-01,Hospital,General Acute Care Hospital,35.76228540,-119.23925190
106150722,BAKERSFIELD MEMORIAL HOSPITAL,120000181,Parent Facility,420 34TH STREET,BAKERSFIELD,93301,15,Kern,Emergency - Basic,385,Open,1956-09-27,Hospital,General Acute Care Hospital,35.39282950,-119.00615410
106150736,KERN MEDICAL CENTER,120000182,Parent Facility,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,15,Kern,Emergency - Basic,222,Open,1953-07-01,Hospital,General Acute Care Hospital,35.38286990,-118.97025700
106150737,KERN VALLEY HEALTHCARE DISTRICT,120000183,Parent Facility,6412 LAUREL AVENUE,LAKE ISABELLA,93240,15,Kern,Emergency - Standby,101,Open,1968-06-17,Hospital,General Acute Care Hospital,35.63528840,-118.40646350
106150761,MERCY HOSPITAL - BAKERSFIELD,120000184,Parent Facility,2215 TRUXTUN AVENUE,BAKERSFIELD,93301,15,Kern,Emergency - Basic,144,Open,1947-01-01,Hospital,General Acute Care Hospital,35.37280140,-119.02676240
106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,120000146,Parent Facility,901 OLIVE DRIVE,BAKERSFIELD,93308,15,Kern,None,64,Open,1960-05-10,Hospital,General Acute Care Hospital,35.41169600,-119.03962830
106150782,RIDGECREST REGIONAL HOSPITAL,120000186,Parent Facility,1081 NORTH CHINA LAKE BLVD.,RIDGECREST,93555,15,Kern,Emergency - Basic,98,Open,1946-09-30,Hospital,General Acute Care Hospital,35.64074450,-117.67116850
106150788,ADVENTIST HEALTH BAKERSFIELD,120000187,Parent Facility,2615 CHESTER AVENUE,BAKERSFIELD,93301,15,Kern,Emergency - Basic,253,Open,1973-05-01,Hospital,General Acute Care Hospital,35.38337440,-119.02065430
106150820,CENTRAL CALIFORNIA REHABILITATION HOSPITAL,550007875,Parent Facility,4400 KIRKCALDY DRIVE,BAKERSFIELD,93306,15,Kern,None,50,Open,2022-03-10,Hospital,General Acute Care Hospital,35.39500810,-118.91896930
106154022,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,120000248,Parent Facility,5001 COMMERCE DRIVE,BAKERSFIELD,93309,15,Kern,None,86,Open,1990-05-01,Hospital,General Acute Care Hospital,35.36715210,-119.05745460
106154044,"BAKERSFIELD BEHAVORIAL HEALTHCARE HOSPITAL, LLC",550003535,Parent Facility,5201 WHITE LANE,BAKERSFIELD,93309,15,Kern,Not Applicable,90,Open,2016-06-01,Hospital,Acute Psychiatric Hospital,35.31645450,-119.06061200
106154101,ADVENTIST HEALTH SPECIALTY BAKERSFIELD,120000187,Consolidated Facility,3001 SILLECT AVENUE,BAKERSFIELD,93308,15,Kern,Emergency - Basic,47,Open,2023-11-28,Hospital,General Acute Care Hospital,35.38470810,-119.03991710
106154108,MERCY SOUTHWEST HOSPITAL,120000184,Consolidated Facility,400 OLD RIVER RD,BAKERSFIELD,93311,15,Kern,Emergency - Basic,85,Open,1992-07-15,Hospital,General Acute Care Hospital,35.35153930,-119.11243920
106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY BAKERSFIELD,M02016045,Parent Facility,"6700 EUCALYPTUS DRIVE, STE C",BAKERSFIELD,93306,15,Kern,Not Applicable,16,Open,2010-11-15,Hospital,Psychiatric Health Facility,35.36578670,-118.92966470
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,120000188,Parent Facility,1100 MAGELLAN DRIVE,TEHACHAPI,93561,15,Kern,Emergency - Basic,25,Open,2018-11-01,Hospital,General Acute Care Hospital,35.14769850,-118.45090070
106164029,ADVENTIST HEALTH HANFORD,550001439,Parent Facility,115 MALL DRIVE,HANFORD,93230,16,Kings,Emergency - Basic,173,Open,2010-12-05,Hospital,General Acute Care Hospital,36.32321710,-119.66787700
106171049,ADVENTIST HEALTH CLEARLAKE,110000174,Parent Facility,15630 18TH AVE,CLEARLAKE,95422,17,Lake,Emergency - Standby,32,Open,1968-04-18,Hospital,General Acute Care Hospital,38.93560640,-122.62023870
106171395,SUTTER LAKESIDE HOSPITAL,110000094,Parent Facility,5176 HILL ROAD EAST,LAKEPORT,95453,17,Lake,Emergency - Basic,30,Open,1978-04-28,Hospital,General Acute Care Hospital,39.10473660,-122.90651980
106184008,BANNER LASSEN MEDICAL CENTER,230000020,Parent Facility,1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,18,Lassen,Emergency - Basic,25,Open,2003-04-23,Hospital,General Acute Care Hospital,40.43680490,-120.62803370
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,930000005,Parent Facility,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,19,Los Angeles,Emergency - Basic,144,Open,1946-01-01,Hospital,General Acute Care Hospital,34.09064290,-118.14376550
106190020,BHC ALHAMBRA HOSPITAL,930000006,Parent Facility,4619 ROSEMEAD BOULEVARD,ROSEMEAD,91770,19,Los Angeles,Not Applicable,97,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.08872740,-118.07381330
106190034,ANTELOPE VALLEY MEDICAL CENTER,930000008,Parent Facility,1600 WEST AVENUE J,LANCASTER,93534,19,Los Angeles,Emergency - Basic,420,Open,1955-09-27,Hospital,General Acute Care Hospital,34.68824820,-118.15915270
106190040,BEST CARE UNLIMITED HOME HEALTH,550006489,Parent Facility,13425 Ventura Blvd,Sherman Oaks,91423,19,Los Angeles,Not Applicable,,Open,2021-07-06,Home Health Agency/Hospice,Home Health Agency,34.14735000,-118.42578000
106190045,CATALINA ISLAND MEDICAL CENTER,930000010,Parent Facility,100 FALLS CANYON ROAD,AVALON,90704,19,Los Angeles,Emergency - Standby,12,Open,1946-01-01,Hospital,General Acute Care Hospital,33.33918740,-118.33068290
106190049,KINDRED HOSPITAL - BALDWIN PARK,930000390,Parent Facility,14148 FRANCISQUITO AVENUE,BALDWIN PARK,91706,19,Los Angeles,None,95,Open,2003-12-23,Hospital,General Acute Care Hospital,34.06305690,-117.96764250
106190050,HENRY MAYO NEWHALL MEMORIAL HOSPITAL D/P APH,930000206,Distinct Part Facility,25727 MCBEAN PARKWAY,VALENCIA,91355,19,Los Angeles,None,23,Open,2022-11-30,Hospital,General Acute Care Hospital,34.39885910,-118.55263370
106190052,BARLOW RESPIRATORY HOSPITAL,930000011,Parent Facility,2000 STADIUM WAY,LOS ANGELES,90026,19,Los Angeles,None,105,Open,1946-01-01,Hospital,General Acute Care Hospital,34.07613380,-118.24812820
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,930000012,Parent Facility,1050 LINDEN AVENUE,LONG BEACH,90813,19,Los Angeles,Emergency - Basic,360,Open,1946-01-01,Hospital,General Acute Care Hospital,33.78055770,-118.18627250
106190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,930000039,Consolidated Facility,9542 ARTESIA BOULEVARD,BELLFLOWER,90706,19,Los Angeles,None,32,Open,2015-07-23,Hospital,General Acute Care Hospital,33.87431360,-118.12973190
106190081,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,930000195,Consolidated Facility,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,19,Los Angeles,Emergency - Basic,192,Open,2023-09-06,Hospital,General Acute Care Hospital,34.01556110,-118.10006020
106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,930000066,Consolidated Facility,3828 DELMAS TERRACE,CULVER CITY,90232,19,Los Angeles,Emergency - Basic,410,Open,2013-01-01,Hospital,General Acute Care Hospital,34.02320010,-118.39691280
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,930000024,Parent Facility,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,19,Los Angeles,Emergency - Basic,392,Open,1946-01-01,Hospital,General Acute Care Hospital,34.03739670,-118.26572710
106190137,CASA COLINA HOSPITAL,930000026,Parent Facility,255 EAST BONITA AVENUE,POMONA,91767,19,Los Angeles,None,99,Open,1961-02-28,Hospital,General Acute Care Hospital,34.09692410,-117.74576920
106190148,CENTINELA HOSPITAL MEDICAL CENTER,930000027,Parent Facility,555 EAST HARDY STREET,INGLEWOOD,90301,19,Los Angeles,Emergency - Basic,362,Open,1946-01-01,Hospital,General Acute Care Hospital,33.95041980,-118.34819870
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,930000028,Parent Facility,4211 AVALON BOULEVARD,LOS ANGELES,90011,19,Los Angeles,Not Applicable,72,Open,1973-10-17,Hospital,Acute Psychiatric Hospital,34.00721840,-118.26555780
106190155,"CALIFORNIA REHABILITATION INSTITUTE, LLC",930000029,Parent Facility,2070 CENTURY PARK EAST,LOS ANGELES,90067,19,Los Angeles,None,138,Open,2016-07-19,Hospital,General Acute Care Hospital,34.05911670,-118.41188330
106190159,PACIFIC GARDENS MEDICAL CENTER,930000030,Parent Facility,21530 PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,19,Los Angeles,Emergency - Basic,124,Suspense,2021-08-24,Hospital,General Acute Care Hospital,33.83357010,-118.08016960
106190163,AURORA CHARTER OAK,930000031,Parent Facility,1161 EAST COVINA BOULEVARD,COVINA,91724,19,Los Angeles,Not Applicable,134,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.09981930,-117.86646690
106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,930000032,Parent Facility,4650 W. SUNSET BOULEVARD,LOS ANGELES,90027,19,Los Angeles,Emergency - Basic,438,Open,1946-01-01,Hospital,General Acute Care Hospital,34.09815470,-118.29077910
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,930000033,Parent Facility,1500 DUARTE ROAD,DUARTE,91010,19,Los Angeles,None,217,Open,1946-03-08,Hospital,General Acute Care Hospital,34.12919380,-117.97281480
106190184,COLLEGE HOSPITAL,930000036,Parent Facility,10802 COLLEGE PLACE,CERRITOS,90703,19,Los Angeles,Not Applicable,187,Open,1974-04-14,Hospital,Acute Psychiatric Hospital,33.88440220,-118.10321510
